가게명,카테고리,도로명주소,lon,lat,상권_코드,상권_코드_명
다심헌,음식점 > 카페 > 전통찻집,서울 종로구 옥인길 8,126.96806077211444,37.58065208276528,3110008,배화여자대학교(박노수미술관)
전통문화원,음식점 > 카페 > 전통찻집,서울 종로구 자하문로 51,126.970886578474,37.5805302783619,3130001,통인시장
호전다실,음식점 > 카페 > 전통찻집,서울 종로구 자하문로11길 16-2,126.970443079391,37.579798561157,3130001,통인시장
서울서둘째로잘하는집,음식점 > 카페 > 전통찻집,서울 종로구 삼청로 122-1,126.9818338546895,37.5862501745141,3120005,삼청동
연경당,음식점 > 카페 > 전통찻집,서울 종로구 팔판길 26,126.98126292037544,37.58295245025109,3120005,삼청동
차마시는뜰 차뜰,음식점 > 카페 > 전통찻집,서울 종로구 북촌로11나길 26,126.98226506208036,37.582155225838505,3120005,삼청동
다담찻집,음식점 > 카페 > 전통찻집,서울 종로구 삼청로 76,126.981854099593,37.5821407474772,3120005,삼청동
다연,음식점 > 카페 > 전통찻집,서울 종로구 삼청로 48-12,126.98057296221528,37.58043856653446,3120005,삼청동
동양차문화관,음식점 > 카페 > 전통찻집,서울 종로구 북촌로11길 76,126.983592684909,37.5838628003638,3110017,정독도서관
월하보이,음식점 > 카페 > 전통찻집,서울 종로구 북촌로5길 26,126.983561939184,37.5795200068365,3120007,북촌(안국역)
금정헌,음식점 > 카페 > 전통찻집,서울 종로구 북촌로11길 32,126.983697187403,37.5822878783646,3110017,정독도서관
차향기듣는집,음식점 > 카페 > 전통찻집,서울 종로구 북촌로5길 29,126.983149897003,37.5793361459711,3120007,북촌(안국역)
티솔로지,음식점 > 카페 > 전통찻집,서울 종로구 윤보선길 71,126.983346912842,37.5791956188603,3120007,북촌(안국역)
터틀도브,음식점 > 카페,서울 종로구 사직로9가길 13,126.968746154634,37.5768599822792,3130002,세종마을음식문화거리(금천교시장)
전통찻집덕수궁,음식점 > 카페 > 전통찻집,서울 중구 서소문로 109,126.97325215264,37.5630551367495,3120020,시청역_1번
서울에서 첫번째로잘하는 전통찻집,음식점 > 카페 > 전통찻집,서울 중구 세종대로 124,126.977886902592,37.5674601648644,3120023,서울시청
코레아노,음식점 > 카페 > 전통찻집,서울 중구 중림로 10,126.96598209895836,37.55849422210736,3120018,중림동
서울에서첫번째전통찻집,음식점 > 카페 > 전통찻집,서울 종로구 종로 19,126.979914362749,37.5709311619802,3120006,종각역
한옥찻집,음식점 > 카페 > 전통찻집,서울 종로구 인사동12길 9,126.984864848692,37.5745944450705,3120008,인사동
전통찻집지대방,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 33,126.98554993689189,37.57348630732058,3120008,인사동
반짝반짝빛나는,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 28-1,126.986062774614,37.573278239159016,3120008,인사동
경인미술관 전통다원,음식점 > 카페 > 전통찻집,서울 종로구 인사동10길 11-4,126.98544221019,37.5744422495732,3120008,인사동
즐거운찻집,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 55-2,126.983581056988,37.5749465624177,3120008,인사동
전통찻집 인사동,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 33-1,126.9854423883843,37.57352683887668,3120008,인사동
신옛찻집,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 47-8,126.983907231673,37.5742474354404,3120008,인사동
보이차전문점 명가원,음식점 > 카페 > 전통찻집,서울 종로구 윤보선길 19-18,126.983545436749,37.5773432027457,3120007,북촌(안국역)
나무새찻집,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 47-9,126.984038560759,37.5741771756783,3120008,인사동
