원본_상권명,검색어
보라매동주민센터(당곡고등학교),보라매동주민센터 카페
송파나루역 2번,송파나루역 카페
어린이대공원역 4번,어린이대공원역 카페
강동구립 천호도서관,강동구립 천호도서관 카페
중암중학교,중암중학교 카페
교육개발원입구사거리,교육개발원입구사거리 카페
홍은종합사회복지관,홍은종합사회복지관 카페
양평역 2번,양평역 카페
정독도서관,정독도서관 카페
동화동 골목형상점가,동화동 골목형 카페
한남힐사이드아파트,한남힐사이드아파트 카페
언남고등학교,언남고등학교 카페
동대문구청,동대문구청 카페
제기동역 6번,제기동역 카페
한국의류시험연구원,한국의류시험연구원 카페
시청역_8번,시청역 카페
사근동살곶이상점가,사근동살곶이 카페
신촌역 6번,신촌역 카페
영중로,영중로 카페
국립국악고등학교,국립국악고등학교 카페
역삼역,역삼역 카페
성신여대운정그린캠퍼스,성신여대운정그린캠퍼스 카페
잠실역,잠실역 카페
연신내역 7번,연신내역 카페
구로시장,구로시장 카페
한국SGI본부,한국SGI본부 카페
DMC(디지털미디어시티),DMC 카페
신월1동우편취급국,신월1동우편취급국 카페
예술인마을,예술인마을 카페
사당역 10번,사당역 카페
충정로역 6번,충정로역 카페
강동성심병원,강동성심병원 카페
길동복조리시장,길동복조리시장 카페
왕십리역 9번,왕십리역 카페
응암역,응암역 카페
평창동서측,평창동서측 카페
종로구청,종로구청 카페
회현역,회현역 카페
솔밭공원역 2번,솔밭공원역 카페
응암정보도서관,응암정보도서관 카페
응암오거리상점가,응암오거리 카페
응암3동주민센터,응암3동주민센터 카페
홍대입구역(홍대),홍대입구역 카페
독산동성당,독산동성당 카페
성대전통시장(성대시장),성대전통시장 카페
선릉역,선릉역 카페
"강남구청(청담역_8번, 강남세무서)",강남구청 카페
청담역 12번,청담역 카페
언북초등학교,언북초등학교 카페
도봉역 3번,도봉역 카페
숙대입구역 1번,숙대입구역 카페
면목골목시장(면목시장),면목골목시장 카페
면동초등학교,면동초등학교 카페
하나고등학교,하나고등학교 카페
종로·청계 관광특구,종로·청계 관광특구 카페
군자역,군자역 카페
망원역,망원역 카페
당산2동(영등포우체국),당산2동 카페
이화달팽이길,이화달팽이길 카페
동대문문구완구거리(동대문문구완구시장),동대문문구완구거리 카페
동대문역 1번,동대문역 카페
쌍문시장(쌍문역골목시장),쌍문시장 카페
고분다리전통시장,고분다리전통시장 카페
신자초등학교,신자초등학교 카페
창동신창시장,창동신창시장 카페
대학로(혜화역),대학로 카페
군자역 4번,군자역 카페
가로수길,가로수길 카페
신용산역(용산역),신용산역 카페
혜회동주민센터,혜회동주민센터 카페
경신고등학교,경신고등학교 카페
인현시장,인현시장 카페
충정로역 3번,충정로역 카페
경찰청앞교차로,경찰청앞교차로 카페
마포농수산물시장,마포농수산물시장 카페
화곡역,화곡역 카페
우장산역 1번,우장산역 카페
우장산힐스테이트,우장산힐스테이트 카페
신풍역 3번,신풍역 카페
양재역 8번(양재동우체국),양재역 카페
석촌고분역 1번,석촌고분역 카페
신원동주민센터,신원동주민센터 카페
압구정역,압구정역 카페
