기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,1분기_평균,2분기_평균,3분기_평균,4분기_평균,3개년_총평균,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_00~06_매출_건수,시간대_06~11_매출_건수,시간대_11~14_매출_건수,시간대_14~17_매출_건수,시간대_17~21_매출_건수,시간대_21~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,QUARTER_NUM
20234,A,골목상권,3110300,삼선동주민센터,847457668,927002399,893878185.3,896860158,891586111.8,881262713,212330,596100798,285161915,122341561,110063804,124153454,108894217,130647762,133561106,151600809,325493,135488708,283952012,214678624,219213069,27604807,423374985,452450539,18247599,225909181,262760844,151111279,145407106,72389516,147442,64888,28406,28927,31635,26840,31634,30009,34879,87,36439,64951,52421,52031,6401,105234,106798,4026,59439,54076,38048,36118,20325,4
20234,A,골목상권,3110667,가양역 10번,61878772.5,78267487,81407670,67922885.5,73373477.78,70397546,20708,48323657,22073889,9663720,9396469,10672181,9005382,9585905,10497438,11576451,343394,13254327,19966736,18306230,16314212,2212647,35259978,35137568,2430650,16498195,19747846,12536355,11387069,7797431,14307,6401,2929,2814,3042,2667,2855,3006,3395,198,4371,5730,5040,4586,783,10743,9965,615,5001,6256,3130,3252,2454,4
20234,A,골목상권,3110865,남강고등학교(남강중학교),319302082,324483379,315829207.7,321226729,319723555.9,321882911,79867,209824543,112058368,41741689,43046832,43139863,39065296,42830863,57572846,54485522,0,53174966,99683392,88338301,70494733,10191519,148052814,173830097,12864067,60835799,89546095,73285751,58261128,27090071,53717,26150,10692,11373,10722,10207,10723,13321,12829,0,15147,23358,21530,17520,2312,38568,41299,3138,15188,22176,16512,16404,6449,4
20234,A,골목상권,3110084,경리단길북측,242141453.5,301282550.5,230392619,234131711,249587698.6,297802458,17877,200257350,97545108,19955694,34538893,26067259,53632809,66062695,40686361,56858747,27870093,36442816,50010542,49436818,86321712,47720477,158255982,131654017,1512568,73987460,91235612,78233639,29699977,15240742,12745,5132,2376,2391,2431,2487,3060,2468,2664,365,3581,5243,4710,3064,914,8641,8614,197,3955,5873,4035,1786,1408,4
20234,D,발달상권,3120241,거여역,337783856,409055409,390762089.3,358062939.5,375787853,351625953,49388,230705270,120920683,39985210,45732747,46632506,50913408,47441399,61963993,58956690,201398,30358192,105705003,89896808,103140607,22323945,150974755,169952491,9220851,57314555,71572764,75578723,70712863,36527492,32905,16483,6079,6312,6557,6888,7069,8810,7673,19,6250,14494,13284,13081,2260,23245,23879,1806,8874,10406,10902,10265,4869,4
20234,A,골목상권,3111042,거여역 1번(거여공원),76582597.5,86121786,79738555,80297494,80579935.56,94501620,15882,62132703,32368917,9331513,14053045,14366027,12134194,12247924,15383974,16984943,0,16198663,33947687,24764029,17740689,1850552,46305782,43995133,662421,10260287,26269258,21201779,17885025,14022144,10679,5203,1775,2249,2457,2048,2150,2465,2738,0,3140,5920,4112,2455,255,8908,6354,95,1370,4454,3523,3234,2585,4
20234,A,골목상권,3111064,둔촌동역 4번,33913508,33537059.5,18670676.67,22536399,26220662.56,29562394,3085,24961703,4600691,3659601,5046150,5539029,6385822,4331101,4600691,0,0,1518427,9937129,6949821,11157017,0,13466869,14064209,0,5166946,5649341,6836955,4136100,5741737,2617,468,403,480,640,597,497,468,0,0,135,1014,850,1086,0,1455,1478,0,600,537,695,570,533,4
20234,A,골목상권,3110165,국립정신건강센터,92450364,92054982.5,96040903.33,95585044,94255943.44,94936471,10985,65780795,29155676,13188541,13001593,13411376,14689662,11489623,13801070,15354606,0,11352633,29711840,27482770,24387237,2001991,40053149,51477702,2068441,17046561,23663353,23012155,20183927,5556414,7749,3236,1655,1609,1538,1538,1409,1593,1643,0,1277,3434,3105,2960,209,4934,5871,287,2142,2506,3024,2124,720,4
20234,A,골목상권,3110409,창동역 2번,443843352,491423438.5,488370982.7,480978940.5,477511601.1,501820868,67060,313749620,188071248,60050063,54818261,59447308,65288328,74145660,94391108,93680140,5486790,57330183,125606638,125251648,141280097,46865512,212267950,284968820,8040145,80747109,172064711,107174469,85176157,44034180,43928,23132,8343,8391,8788,8601,9805,11028,12104,788,11238,16920,16782,16842,4490,33140,33804,1489,12257,18265,14958,13544,6430,4
20234,A,골목상권,3111026,문정역 2번,258390120.5,336100711,282437248.3,264662748,285068767.1,280684308,45202,210645241,70039067,32825796,44605373,32881762,38656271,61676039,40510698,29528369,0,71092893,110862640,60820315,33829431,4079029,103307119,126070479,1945159,37838586,65153262,60213557,42091449,22135582,33146,12056,6643,7006,6224,6200,7073,6182,5874,0,13210,13637,10907,6569,879,21057,22561,481,7838,13959,10489,7004,3852,4
20234,A,골목상권,3111027,문정초등학교,124001185,133630901,145590992.7,146245383,138280879.6,161415101,24827,116305918,45109183,21039614,19187901,24776075,23799199,27503129,19470554,25638629,1695773,14170158,72070220,46110881,26153990,1214079,66890859,76324587,2623810,26553091,34051281,44761826,19411449,15813988,18469,6358,3734,3048,3848,3699,4140,3172,3186,114,2541,10282,7910,3927,53,11040,12098,462,4901,5535,7083,3108,2055,4
20234,R,전통시장,3130322,고분다리전통시장,55079463,73522690.5,48230978,39442089.5,54068805.25,19468384,3531,13664505,5803879,2372133,2339580,2614553,3287088,3051151,2838772,2965107,0,2058338,6764138,4818810,5252105,574993,7900916,11567468,194232,2598435,5353319,4164948,4549755,2607695,2458,1073,396,369,438,654,601,574,499,0,451,1162,949,880,89,1646,1885,50,487,973,748,778,495,4
20234,A,골목상권,3110429,공릉동 국수거리,89200859.5,110829641.5,103383585.7,79976504,96684974.11,85675485,8925,56733119,28942366,10963220,11317879,12735851,10393971,11322198,17193540,11748826,0,7242089,33866941,21055847,22284049,1226559,32938409,49781383,509886,16639187,12971862,17807080,19005344,15786433,6736,2189,1249,1365,1406,1339,1377,1371,818,0,1402,3370,2331,1761,61,3329,5305,83,1861,1645,2479,1422,1142,4
20234,A,골목상권,3110513,연희파출소,165855557.5,160531470,177559354.3,135544049,161837801.8,144275044,10750,90294189,53980855,18120658,21151100,17204457,15948239,17869735,23835735,30145120,0,17197294,48066124,43877825,33485172,1648629,52600329,74907032,684868,23015942,30173093,29624939,28029069,15979450,7041,3709,1345,1537,1479,1284,1396,1631,2078,0,1793,3466,3147,2242,102,3831,5540,60,1943,2345,2150,1833,1040,4
20234,A,골목상권,3110640,방화역 1번,243896044.5,367746625.5,329601747.7,278532734.5,307684005.8,290417787,47230,208731626,81686161,38400126,43041862,40877053,40331863,46080722,39339010,42347151,0,43450696,116417987,70989114,51853052,7706938,125702201,130129233,3188230,32278120,69429202,59887203,52273297,38775388,33001,14229,6107,6622,6473,6696,7103,6909,7320,0,8763,16080,11206,9228,1953,23379,21775,679,6715,12558,10702,8676,5822,4
