기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
20253,D,발달상권,3120159,서울대입구역,3006858,7,2962646726,680918562,395802530,263779779,311971149,451960143,134797015,110962173,469369084,143086291
20253,D,발달상권,3120160,사당역(사당),3342209,7,2520709765,596872983,322851051,204268210,286758725,408463260,107988344,84370317,395365573,113771302
20253,D,발달상권,3120161,방배동가구거리(사당동가구거리),3235691,7,757059162,182360220,91249706,56877590,88753377,126768350,28089317,22460341,128540159,31960102
20253,D,발달상권,3120162,방배동카페골목,3932497,8,1475718498,336342546,183725311,111663967,165835381,259504229,62160755,42501196,251196344,62788769
20253,D,발달상권,3120163,사당역 11번(사당역먹자골목),3263288,7,1495154155,378023755,180722410,106054033,185069437,250632682,54419738,44348765,232529014,63354321
20253,D,발달상권,3120164,내방역,3381776,7,1793706422,420122785,219674531,132927425,209907175,315156223,71779649,51631084,296883648,75623902
20253,D,발달상권,3120165,서래마을카페거리(서래마을),4331303,8,1179112807,262785552,149770946,88570390,135957532,213645135,56226828,32780510,190070121,49305793
20253,D,발달상권,3120166,방배역,3522504,7,2042534782,468964190,255810818,158764439,238705144,362987699,92612539,58262584,320920584,85506785
20253,D,발달상권,3120167,고속터미널(고속터미널역),6477930,9,216898294,47101895,26324809,15586363,23889261,39943519,8551724,5993561,40524009,8983153
20253,D,발달상권,3120168,서울고교교차로,4385337,8,235684029,52807082,30878834,17533570,26902833,41884829,12430786,6473699,36864056,9908340
20253,D,발달상권,3120169,서초역,4845302,8,1495893906,330496989,190519815,116522982,169967265,274756869,70141656,42007535,237129202,64351593
20253,D,발달상권,3120170,삼호가든사거리,5053618,9,488651708,104245354,62165517,39964896,52675516,87218069,26244805,13644461,82927355,19565735
