상권_코드,상권_코드_명,기준_년분기_코드,상권_구분_코드_명_x,y_log,당월_매출_금액,찻집_수,카페음료_점포수,oof_pred,oof_residual
3120249,고덕역,20253,발달상권,21.387078631811534,1942183381,3,13.0,20.59599183163364,0.7910868001778937
3130001,통인시장,20233,전통시장,20.798865460106832,1078530668,2,22.0,18.320114422149985,2.4787510379568474
3130001,통인시장,20234,전통시장,20.51178190234836,809382283,2,23.0,18.268839840094305,2.2429420622540555
3130001,통인시장,20241,전통시장,20.824234578667447,1106242061,2,23.0,18.230214507838816,2.5940200708286305
3130001,통인시장,20242,전통시장,21.580470215062928,2356563415,2,23.0,18.37048376691381,3.2099864481491167
3130001,통인시장,20243,전통시장,21.508922847716505,2193847848,2,22.0,18.303162827579925,3.20576002013658
3130001,통인시장,20244,전통시장,21.80107789593852,2938243808,2,22.0,18.26267597194936,3.5384019239891593
3130001,통인시장,20251,전통시장,21.027142272968725,1355101603,2,23.0,18.128606179818753,2.8985360931499713
3130001,통인시장,20252,전통시장,20.62496259559889,906374011,2,,18.29264765756175,2.3323149380371397
3130001,통인시장,20253,전통시장,20.928693169108456,1228049737,2,23.0,18.318649716117598,2.6100434529908583
3130002,세종마을음식문화거리(금천교시장),20233,전통시장,19.14636059169298,206613527,1,8.0,18.549272947053456,0.5970876446395224
3130002,세종마을음식문화거리(금천교시장),20234,전통시장,19.11481857365737,200198227,1,7.0,18.520854600645542,0.593963973011828
3130002,세종마을음식문화거리(금천교시장),20241,전통시장,18.928846563573384,166223954,1,7.0,18.46062856353414,0.4682180000392435
3130002,세종마을음식문화거리(금천교시장),20242,전통시장,19.19361687076037,216611691,1,7.0,18.609346127033152,0.5842707437272168
3130002,세종마을음식문화거리(금천교시장),20243,전통시장,19.06836446671404,191110903,1,6.0,18.531560641138313,0.5368038255757277
3130002,세종마을음식문화거리(금천교시장),20244,전통시장,18.962004103780828,171827925,1,6.0,18.466947860833084,0.49505624294774364
3130002,세종마을음식문화거리(금천교시장),20251,전통시장,18.75710826528815,139993739,1,7.0,18.345257492573104,0.4118507727150451
3130002,세종마을음식문화거리(금천교시장),20252,전통시장,19.724864432716263,368468001,1,,18.502425208764695,1.222439223951568
3130002,세종마을음식문화거리(금천교시장),20253,전통시장,19.76624885857218,384036768,1,8.0,18.538707798932528,1.2275410596396519
3130007,광장시장(광장전통시장),20233,전통시장,19.7959382271906,395609521,0,9.0,18.27384325401843,1.5220949731721696
3130007,광장시장(광장전통시장),20234,전통시장,19.647319601466556,340974959,0,8.0,18.209428510258334,1.437891091208222
