상권_코드,상권_코드_명,상권유형,residual_latest,pred_latest,y_log_latest,매출_latest,찻집수_latest,residual_avg,residual_std,n_quarters,supply_shortage,residual_consistent,blueocean_candidate
3111026,문정역 2번,골목상권,0.9098074809387278,18.466343649505877,19.376151130444605,259989324,0,1.0475040360532009,0.14181354839018107,9,1.0,False,False
3110021,성균관대학교,골목상권,0.9146344497412677,18.562291617728437,19.476926067469705,287555391,0,1.142259467731126,0.1925098578558417,9,1.0,False,False
3110994,개포고등학교,골목상권,0.917843311290067,18.064472021447305,18.98231533273737,175353646,0,0.8497516519069165,0.24921296559473502,9,1.0,False,False
3110207,시립대앞사거리,골목상권,0.9192946948276735,17.569141534031207,18.48843622885888,107010361,0,0.7054503766502785,0.2719906962638319,9,1.0,False,False
3120023,서울시청,발달상권,0.9195910144735855,20.464633626138244,21.38422464061183,1936648309,1,0.9161172303916543,0.08679928740990422,9,0.5,False,False
3110403,방학1동주민센터,골목상권,0.9196131338292588,17.94586500208339,18.86547813591265,156017405,0,0.6808785305875449,0.7936798316740487,9,1.0,False,False
3110524,연희세브란스병원,골목상권,0.9313978400810967,18.567107426353193,19.49850526643429,293828042,0,0.5224520719573557,0.4829948702037534,9,1.0,False,False
3110278,망우본동주민센터,골목상권,0.9327851576876931,18.001047063136124,18.933832220823817,167054759,0,0.9407210431919739,0.19030545095262336,9,1.0,False,False
3110286,한성대입구역 5번,골목상권,0.9367944163993478,18.24992335651224,19.18671777291159,215122409,0,1.1104555089039496,0.09765302956540688,9,1.0,False,False
3111019,한성백제역 3번,골목상권,0.93709389618909,18.33334457590779,19.27043847209688,233908008,0,1.0231550567262013,0.09057397871814041,9,1.0,False,False
3110455,역촌노인복지관,골목상권,0.9413699670199485,18.08053099514824,19.02190096216819,182434353,0,0.9539266217989792,0.05567948805804507,9,1.0,False,False
3120013,이화사거리,발달상권,0.9541991318345922,19.907407325713653,20.861606457548245,1148366640,0,0.9012471814501504,0.10132375426559391,9,1.0,False,False
3110855,신대방역 2번,골목상권,0.9642727932019675,18.386223220363632,19.3504960135656,253404101,0,0.9362615614683618,0.05806947272498802,9,1.0,False,False
3110837,숭실대입구역 1번,골목상권,0.9689992023475007,18.231167942057464,19.200167144404965,218035214,0,1.2183814426119182,0.11835548183414123,9,1.0,False,False
3110102,옥수역 6번,골목상권,0.9735882051121081,18.009058494395617,18.982646699507725,175411762,0,1.1126223753434934,0.16393900553086235,9,1.0,False,False
3120199,경복아파트교차로,발달상권,0.9761237307181361,19.8600213861035,20.836145116821637,1119496778,1,1.0779700657455413,0.1096847116644293,9,0.5,False,False
3110789,대림성모병원,골목상권,0.9763342699334352,17.859542773459403,18.835877043392838,151466803,0,1.1979051730801484,0.25058777583431957,9,1.0,False,False
3110895,샤로수길,골목상권,0.9783062893935153,18.910415715007804,19.88872200440132,434072445,0,0.954003948247366,0.062480486259600926,9,1.0,False,False
3110246,월드순복음교회,골목상권,0.9830876319886173,17.91000958421121,18.893097216199827,160386520,0,1.0229583077638935,0.14013332630744688,9,1.0,False,False
